tip_label;region;family;Genera;hoarding_status;development_mode;fam_sys_known_nk50;fam_sys_inferred_nk50;incubation_period;in_nest_period;independ_period;time_after_fl_parents;fam_time;median_clutch_size;zoolrec_hits;brain_size;mov_min;mov_max;terr_sys;terr_sys_source;body_weight;weight_source;food_diversity;food_energy_mean;food_fibres_mean;habitat_gen_spec;flocking_tendency;flocking_reason;foraging.method;INTRA_COL;HET_COL;invertivore;aquatic;vertivore;carnivore;nectarivore;frugivore;granivore;plants;diet;Bio1_mean;Bio2_mean;Bio3_mean;Bio4_mean;Bio7_mean;Bio12_mean;Bio15_mean;altitude_mean;npp_mean;hoard;hoard2;type;strategy;strat_final;foodPCA1;foodPCA2;foodPCA3;foodPCA4;NestPlacement;A1;A2;A3;A4
Acanthagenys_rufogularis;Australia;Meliphagidae;Acanthagenys;control_species;altrical;NA;no_fam;14;16.5;12;NA;NA;2;11;1.20176;0;3;;;51.75;hbw;2.046450949;162.03;3;generalist;sometimes;NA;Gleaning;acolonial;acolonial;20;0;10;0;50;10;10;0;omnivore;20.8843268;14.36626623;4.843088572;538.9531178;29.46878213;351.9254772;50.07877322;289.2003264;1.39E+11;0;NA;NA;NA;no;0.213800711;0.159422486;-0.112092783;0.292637964;ExposedElevated;0.213800711;0.159422486;-0.112092783;0.292637964
Acanthisitta_chloris;Australia;Acanthisittidae;Acanthisitta;control_species;altrical;coop;coop;19.6;24;31.5;120;88.5;4;18;NA;0;0;year_round_terr;hbw;5.7;hbw;0.469015229;161.69;3.32;specialist;usually;family;Gleaning;acolonial;acolonial;90;0;0;0;0;10;0;0;invertivore;9.708315098;9.252297593;4.624726477;362.5965614;19.80743982;1833.801813;14.83025946;547.1615089;4.58E+11;0;NA;NA;NA;no;-0.292780471;0.006335009;0.026693431;0.011634769;Cavity;-0.292780471;0.006335009;0.026693431;0.011634769
Acanthiza_chrysorrhoa;Australia;Acanthizidae;Acanthiza;control_species;altrical;coop;coop;19;18;42;400;358;4;20;0.44548;0;0;year_round_terr;hbw;9.162666435;hbw;0.721947394;207.5;3.36;specialist;sometimes;fam&forage;GroundGeneralist;colonial;colonial;80;0;0;0;0;0;20;0;invertivore;19.34995295;13.99997729;4.844903787;524.2225947;28.71995814;411.0395074;41.99920498;292.8084257;1.89E+11;0;NA;NA;NA;no;-0.292780471;0.006335009;0.026693431;0.011634769;Cavity;NA;NA;NA;NA
Acanthiza_inornata;Australia;Acanthizidae;Acanthiza;control_species;altrical;coop;coop;18.5;18;56;400;344;3;10;0.45584;0;0;territorial;hbw;7;hbw;0.721947394;160.2;2.28;specialist;sometimes;family;Gleaning;acolonial;acolonial;80;0;0;0;20;0;0;0;invertivore;16.58581188;12.29889648;5.029006831;426.3399895;24.31897005;610.2869154;65.16920652;219.0172414;3.73E+11;0;NA;NA;NA;no;-0.292780471;0.006335009;0.026693431;0.011634769;Cavity;-0.292780471;0.006335009;0.026693431;0.011634769
Acanthiza_lineata;Australia;Acanthizidae;Acanthiza;control_species;altrical;coop;coop;16.5;19;NA;400;360;3;19;0.52836;0;0;year_round_terr;hbw;7.1;hbw;1.370967049;194.4;3.04;specialist;usually;family;Gleaning;acolonial;acolonial;60;0;0;0;20;0;20;0;invertivore;16.29781538;12.88763437;4.879582495;474.5322006;26.1977599;725.7614259;30.74013454;327.8741271;4.29E+11;0;NA;NA;NA;no;-0.292780471;0.006335009;0.026693431;0.011634769;Cavity;-0.292780471;0.006335009;0.026693431;0.011634769
Acanthiza_nana;Australia;Acanthizidae;Acanthiza;control_species;altrical;coop;coop;16.5;NA;NA;400;360;3;5;0.38332;0;0;year_round_terr;hbw;6.5;hbw;0.721947394;207.5;3.36;specialist;usually;family;Gleaning;acolonial;acolonial;80;0;0;0;0;0;20;0;invertivore;18.16589902;13.37591257;4.86202907;499.2202614;27.33937685;606.7560868;36.79445685;282.299521;3.07E+11;0;NA;NA;NA;no;-0.292780471;0.006335009;0.026693431;0.011634769;Cavity;-0.292780471;0.006335009;0.026693431;0.011634769
Acanthiza_pusilla;Australia;Acanthizidae;Acanthiza;control_species;altrical;family;family;18.8;15.7;45.5;185;139.5;3;36;0.4662;0;0;year_round_terr;hbw;7.1;hbw;1.356794158;172.24;3.54;specialist;usually;family;Gleaning;acolonial;acolonial;70;0;0;0;10;10;10;0;invertivore;16.17977385;12.53095253;4.904912796;455.2464959;25.34992014;785.2039226;32.53139973;325.0060205;4.40E+11;0;NA;NA;NA;no;-0.292780471;0.006335009;0.026693431;0.011634769;Cavity;-0.292780471;0.006335009;0.026693431;0.011634769
Acanthiza_reguloides;Australia;Acanthizidae;Acanthiza;control_species;altrical;coop;coop;18.5;17.5;45.5;400;354.5;3;14;0.40404;0;0;year_round_terr;hbw;7.1;hbw;0.921945157;183.85;2.82;specialist;usually;family;GroundGeneralist;acolonial;acolonial;80;0;0;0;10;0;10;0;invertivore;18.15339212;13.2775617;4.91327455;484.4892217;26.87540766;655.821315;39.58545718;300.0058028;3.38E+11;0;NA;NA;NA;no;-0.292780471;0.006335009;0.026693431;0.011634769;Cavity;-0.292780471;0.006335009;0.026693431;0.011634769
Acanthiza_uropygialis;Australia;Acanthizidae;Acanthiza;control_species;altrical;coop;coop;19;19;NA;400;360;3;9;0.37296;0;0;;;6;hbw;0.921945157;176.2838;4.79;specialist;usually;fam&forage;Gleaning;acolonial;acolonial;80;0;0;0;0;0;10;10;invertivore;20.12745104;14.3850523;4.77271569;554.935882;29.91268109;330.4643177;42.30337397;299.2485762;1.35E+11;0;NA;NA;NA;no;-0.292780471;0.006335009;0.026693431;0.011634769;Cavity;-0.292780471;0.006335009;0.026693431;0.011634769
Acanthorhynchus_superciliosus;Australia;Meliphagidae;Acanthorhynchus;control_species;altrical;no_fam;no_fam;NA;15;14;14;0;2;9;NA;0;1;unknown;hbw;9.875;hbw;0.88131;127.45;1.48;specialist;sometimes;foraging;Gleaning;acolonial;acolonial;30;0;0;0;70;0;0;0;nectarivore;16.54464215;12.19565045;5.114313958;409.5530645;23.72178727;571.3918545;58.25543693;211.7633009;3.33E+11;0;NA;NA;NA;no;0.199798276;-0.091933813;-0.567246773;0.393979517;ExposedElevated;0.199798276;-0.091933813;-0.567246773;0.393979517
Acanthorhynchus_tenuirostris;Australia;Meliphagidae;Acanthorhynchus;control_species;altrical;no_fam;no_fam;14;13.7;10;10;0;2;31;0.49728;0;1;breeding_terr;hbw;12.75;hbw;1.000018957;140.55;1.8;generalist;sometimes;foraging;GroundGeneralist;acolonial;acolonial;40;0;0;0;60;0;0;0;nectarivore;15.23522408;11.78850553;4.944862179;419.9837896;23.67182636;925.8611476;33.89555597;375.1154003;5.18E+11;0;NA;NA;NA;no;-0.084704917;-0.040319626;-0.348024111;0.314604902;ExposedElevated;-0.084704917;-0.040319626;-0.348024111;0.314604902
Accipiter_albogularis;Australia;Accipitridae;Accipiter;non_hoarder;altrical;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;0;3;;;306.25;hbw;0.721947394;202.2;0.4;generalist;NA;NA;AerialSallying;acolonial;acolonial;0;0;100;0;0;0;0;0;vertivore;25.38681818;7.033863636;8.4525;42.49613636;8.28;3321.122727;22.96136364;269.8782104;5.37E+11;0;N;;N;no;0.172059845;-0.101159396;-0.349248428;-0.510593384;ExposedElevated;0.172059845;-0.101159396;-0.349248428;-0.510593384
